Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
5536,N,,70,11,D,HGH,RET,F,"258,2461538",01/06/1989,01/10/9999,27/07/2005,"186,3436154"
5541,N,,72,13,M,BCR,RET,M,"329,7035385",31/12/1988,01/10/9999,31/05/2004,0
5545,N,,45,11,M,HGH,PVE,F,176,01/01/1994,01/10/2014,27/07/2005,0
5553,N,,59,11,M,BCR,STE,F,"356,6615385",26/03/1990,01/10/9999,25/07/2005,"93,78061538"
5555,N,,38,11,M,HGH,STE,F,"268,0746154",09/03/2003,27/08/1999,27/07/2005,"74,46084615"
5561,N,,56,11,M,HGH,PVE,M,"295,0923077",01/07/2006,10/06/1980,27/07/2005,"271,2705385"
5569,N,,55,11,M,HGH,PVE,F,"179,0307692",01/01/1989,01/08/2005,22/07/2005,"55,92669231"
5571,N,,67,11,D,HGH,RET,F,"233,1286923",01/09/1970,01/10/9999,27/07/2005,"63,59115385"
5576,N,,35,11,M,BCR,STE,F,"237,188",28/08/1982,10/06/2010,27/07/2005,"71,97707692"
5579,N,,63,11,D,HGH,RET,F,"468,4775385",01/11/1964,01/10/9999,28/07/2005,"1,195769231"
5580,N,,48,11,M,HGH,PVE,M,"1439,984615",01/01/2000,02/10/2000,28/07/2005,"640,9631538"
5585,N,,69,11,M,BCR,RET,F,"305,3516154",01/01/2005,01/10/9999,28/07/2005,"74,64146154"
5588,N,,40,12,M,BCR,STE,M,"462,7692308",01/01/1993,10/05/2004,15/04/2005,"329,5360769"
5592,N,,61,11,M,HGH,STE,M,"422,0219231",17/01/1991,11/03/1978,28/07/2005,"65,25307692"
5594,N,,68,12,M,BCR,RET,M,"166,5450769",01/06/2001,01/10/9999,21/09/2004,0
5595,N,,44,11,M,BCR,STE,M,"420,7964615",02/06/2001,19/12/2014,28/07/2005,"726,8785385"
5596,N,,36,11,M,HGH,STE,M,"308,7769231",12/05/1986,01/10/2003,28/07/2005,"286,8470769"
5597,N,,46,11,M,PRS,PVE,M,"291,1307692",01/02/1971,01/05/2011,28/07/2005,"220,0045385"
5599,N,,44,12,M,BCR,STE,F,"473,0625385",22/02/2001,01/02/2010,01/04/2005,0
5601,N,,62,14,S,BCR,PVE,M,"346,1538462",01/07/1978,01/03/2010,18/02/2003,0
5605,N,,60,12,M,BCR,STE,M,"380,1846154",21/11/2001,20/12/1983,30/05/2005,"24,23253846"
5610,N,,45,11,S,HGH,STE,M,"246,3230769",03/06/1995,01/06/1993,29/07/2005,"240,4966923"
5612,N,,56,11,M,BCR,STE,F,"600,1016154",24/10/1987,25/10/1988,29/07/2005,"181,2832308"
5614,N,,59,11,M,BCR,STE,M,"454,5357692",10/02/1985,10/06/2004,27/07/2005,0
5622,N,,40,11,S,HGH,SFE,M,"185,2461538",01/01/1984,10/10/2003,29/07/2005,0
5624,N,,51,12,D,BCR,STE,F,"632,6401538",03/02/2009,01/09/1997,05/04/2005,"608,3723077"
5628,N,,54,11,M,PRS,STE,F,"402,7307692",10/12/1984,10/09/1985,29/07/2005,"262,1887692"
5632,N,,52,11,M,HGH,STE,M,"392,4578462",01/05/1966,26/03/2008,29/07/2005,"258,1463077"
5633,N,,40,11,S,BCR,PVE,F,"1614,122",30/10/2008,01/05/2016,29/07/2005,0
5635,N,,57,14,M,HGH,PVE,F,"467,5980769",04/10/1980,25/07/1984,09/05/2003,0
5637,N,,45,11,M,HGH,STE,M,"514,9324615",09/09/2005,15/05/2005,30/07/2005,"343,917"
5638,N,,62,11,W,BCR,STE,F,"711,7644615",01/01/1996,01/04/1978,30/07/2005,0
5639,N,,63,11,D,BCR,PVE,M,"235,7461538",01/01/1961,01/03/2009,30/07/2005,0
5641,N,,57,14,M,BCR,STE,M,"277,7346923",01/01/1961,01/02/2002,16/04/2003,0
5642,N,,51,11,W,HGH,PVE,F,200,01/01/1995,01/09/2015,30/07/2005,0
5646,N,,51,11,M,PRS,STE,F,"203,0811538",19/10/1985,06/11/2000,01/08/2005,0
5647,N,,57,11,M,HGH,PVE,F,"275,51",01/01/1993,03/01/2008,01/08/2005,"191,8919231"
5648,N,,53,11,M,HGH,STE,M,"310,3769231",01/06/1994,01/06/2005,01/08/2005,"267,3067692"
5653,N,,63,13,M,HGH,RET,F,"212,2153846",11/07/1991,01/10/9999,03/12/2003,"93,40538462"
5658,N,,55,11,M,HGH,PVE,F,"334,0683846",11/11/1979,26/12/2006,01/08/2005,"258,9262308"
5669,N,,70,11,D,HGH,RET,F,"239,7409231",01/07/1964,01/10/9999,02/08/2005,"112,753"
5670,N,,70,11,M,HGH,RET,M,"352,2468462",05/04/2012,01/10/9999,02/08/2005,"173,8118462"
5677,N,,61,12,M,HGH,STE,F,"302,8384615",19/09/1981,01/01/1992,13/04/2005,"44,47438462"
5678,N,,64,11,W,HGH,RET,F,"196,8036923",01/05/1980,07/05/2005,02/08/2005,0
5693,N,,69,11,M,HGH,RET,M,"248,0676923",17/08/1948,01/10/9999,23/07/2005,"116,8970769"
5694,N,,55,11,M,BCR,STE,F,"634,4307692",26/01/1992,26/07/1988,03/08/2005,"93,22769231"
5695,N,,41,12,M,BCR,PVE,F,"431,0566923",15/02/2013,01/07/2014,23/12/2004,0
5696,N,,64,13,M,HGH,RET,F,"169,8191538",01/01/2001,01/10/9999,07/10/2003,"77,25738462"
5701,N,,48,12,S,BCR,PVE,F,"1423,472077",01/01/1990,01/01/2010,22/12/2004,"526,4350769"
5709,N,,49,11,M,BCR,STE,F,"306,4449231",15/11/1998,10/09/1996,03/08/2005,"304,9878462"
5711,N,,56,12,M,HGH,PVE,F,"393,4722308",12/08/2005,01/01/1999,30/06/2005,"199,8357692"
5736,N,,69,11,M,BCR,RET,M,"284,6304615",01/01/1968,01/10/9999,04/08/2005,"74,04653846"
5739,N,,65,11,M,HGH,PVE,M,"332,5566154",01/05/2009,14/06/1977,04/08/2005,"88,62415385"
5740,N,,70,14,M,BCR,RET,M,"306,6692308",01/01/1980,01/10/9999,16/05/2003,0
5748,N,,65,11,M,BCR,RET,M,"331,9747692",19/10/2010,01/10/9999,05/08/2005,"77,849"
5749,N,,42,11,M,HGH,STE,F,"288,1076923",02/03/1997,10/06/1998,05/08/2005,"290,479"
5752,N,,52,14,M,HGH,PVE,F,"263,281",01/01/1997,24/09/1986,24/12/2002,"119,1156923"
5754,N,,35,11,S,BCR,STE,F,"290,1939231",15/08/2004,01/12/2006,05/08/2005,"35,45276923"
5759,N,,50,11,M,HGH,STE,F,"301,7076923",02/11/1991,01/03/1990,05/08/2005,"245,757"
5760,N,,56,11,M,HGH,PVE,M,"431,8509231",19/03/1961,15/01/2014,05/08/2005,"240,4499231"
5765,N,,45,11,M,BCR,STE,F,"1154,515385",01/01/2003,16/03/2016,06/08/2005,"481,9520769"
5768,N,,41,11,M,HGH,PVE,F,"1443,884615",24/09/2005,01/09/2006,08/08/2005,"1266,047154"
5770,N,,56,11,M,BCR,RET,F,"680,3230769",09/08/1961,01/10/9999,08/08/2005,0
5771,N,,50,11,W,HGH,PVE,F,"230,0923077",22/09/1999,15/09/1989,08/08/2005,"153,3307692"
5773,N,,46,11,M,BCR,STE,F,"351,7277692",14/08/2002,01/09/1994,08/08/2005,0
5776,N,,37,11,S,HGH,STE,M,"201,7230769",31/12/2011,01/09/2002,08/08/2005,"178,9570769"
5778,N,,47,11,M,HGH,PVE,F,"368,8895385",22/02/2005,15/12/1995,08/08/2005,"290,682"
5784,N,,50,11,S,BCR,STE,F,"398,5384615",01/07/2015,20/01/2004,08/08/2005,"8,820538462"
5787,N,,58,11,M,PRS,STE,F,"234,4153846",08/04/1978,03/03/1987,08/08/2005,"192,918"
5788,N,,59,11,M,SEC,PVE,F,"191,431",20/07/1990,13/01/2000,08/08/2005,0
5791,N,,39,11,M,HGH,STE,M,"261,5384615",09/02/2004,28/08/2002,09/08/2005,"149,9706923"
5795,N,,63,14,W,BCR,RET,F,"233,7891538",28/09/1971,01/10/9999,04/07/2003,0
5798,N,,49,14,M,HGH,PVE,F,"288,5676154",29/09/1990,01/08/2005,14/01/2003,"239,9066154"
5802,N,,42,11,M,BCR,PVE,F,"860,2",01/01/1986,01/11/2002,09/08/2005,0
5805,N,,52,11,M,HGH,PVE,M,"414,6923077",01/09/1988,01/11/1985,09/08/2005,"384,1821538"
5806,N,,63,11,D,HGH,RET,F,"189,8597692",11/02/1991,01/10/9999,09/08/2005,0
5807,N,,69,11,W,HGH,RET,F,"298,7008462",07/05/1973,01/02/2005,09/08/2005,"108,4952308"
5810,N,,62,11,M,HGH,RET,F,"160,2362308",19/10/1958,01/10/9999,09/08/2005,0
5822,N,,59,11,W,HGH,RET,F,"232,8076923",08/09/1999,01/10/9999,10/08/2005,"238,5445385"
5826,N,,49,11,S,BCR,STE,F,"343,1587692",01/01/1975,01/09/2001,10/08/2005,0
5827,N,,41,11,S,HGH,STE,F,"254,3307692",06/04/1976,01/11/1995,10/08/2005,"10,69953846"
5829,N,,66,12,M,HGH,RET,M,"277,5903846",01/01/1960,01/10/9999,02/02/2005,"32,392"
5838,N,,38,11,M,HGH,PVE,F,"329,5086154",01/01/2000,01/10/2006,10/08/2005,"338,985"
5841,N,,44,12,M,HGH,STE,M,"424,5830769",15/06/1973,15/03/1995,07/06/2005,"433,6166154"
5843,N,,43,13,M,HGH,STE,M,"682,1202308",01/10/9999,06/11/2006,11/03/2004,"8,439923077"
5844,N,,62,11,W,BCR,RET,F,"283,0769231",05/10/1978,01/10/9999,10/08/2005,"256,6624615"
5848,N,,43,11,S,BCR,STE,F,"770,2461538",10/09/1996,01/06/2005,10/08/2005,0
5850,N,,60,11,S,HGH,RET,F,"307,6923077",01/02/2013,01/10/9999,25/07/2005,"33,28123077"
5853,N,,59,13,S,BCR,STE,M,"633,4365385",01/10/1963,01/01/2010,14/04/2004,"141,2755385"
5856,N,,42,11,M,HGH,STE,F,"251,4128462",18/04/1996,01/05/2004,11/08/2005,"247,2144615"
5858,N,,48,11,M,HGH,STE,M,"261,5384615",20/03/1969,15/07/1994,11/08/2005,"93,58861538"
5859,N,,48,11,M,HGH,STE,M,"519,238",01/06/1986,01/10/1987,11/08/2005,"263,1873846"
5860,N,,63,11,D,HGH,STE,M,"239,0538462",24/08/1996,20/06/1984,11/08/2005,0
5864,N,,57,12,M,HGH,RET,F,"209,5969231",01/06/1980,01/10/9999,28/07/2004,"92,43915385"
5867,N,,59,11,M,HGH,PVE,M,"210,4384615",01/08/1970,10/09/1980,11/08/2005,"198,0601538"
5875,N,,55,11,M,BCR,STE,F,"305,5639231",28/04/1984,07/06/1984,11/08/2005,"312,8973077"
5879,N,,61,11,M,SEC,PVE,M,"223,1230769",01/05/1984,22/06/1977,11/08/2005,"196,4016154"
5880,N,,53,11,M,HGH,PVE,M,"251,6230769",01/01/1999,09/05/1989,11/08/2005,"225,6823846"
5891,N,,48,11,M,HGH,PVE,M,"459,7343077",25/08/1969,03/07/1989,11/08/2005,"365,0392308"
5896,N,,54,11,M,HGH,STE,M,"460,3769231",18/05/1965,12/03/1986,12/08/2005,"389,689"
5897,N,,63,11,M,HGH,RET,F,"212,3624615",15/05/2004,01/10/9999,11/08/2005,"103,7382308"
5898,N,,62,12,M,HGH,RET,F,352,07/10/1978,01/10/9999,11/05/2005,"156,9332308"
5902,N,,54,12,D,BCR,STE,F,"159,7538462",17/06/2001,18/09/2000,24/03/2005,"4,681076923"
5903,N,,37,11,M,HGH,STE,M,"423,4510769",25/02/1988,25/07/2006,12/08/2005,"117,9881538"
5904,N,,50,11,M,SEC,PVE,M,"594,6957692",20/06/1997,05/04/1994,12/08/2005,"170,179"
5908,N,,41,11,M,HGH,STE,M,"213,1461538",01/02/1976,01/06/2002,12/08/2005,"218,5449231"
5911,N,,68,13,S,HGH,RET,F,"213,1738462",08/01/1969,01/10/9999,07/08/2003,"196,7968462"
5915,N,,68,11,M,HGH,RET,M,"293,3020769",12/01/2009,01/10/9999,12/08/2005,"174,1293846"
5917,N,,67,11,M,HGH,RET,M,"282,0833846",11/02/1985,01/10/9999,08/08/2005,"284,5692308"
5921,N,,44,11,M,HGH,STE,M,"438,5092308",01/01/1984,24/05/1994,13/08/2005,"311,3338462"
5922,N,,35,11,S,BCR,STE,F,"210,7680769",01/07/2010,16/10/2006,13/08/2005,"61,53846154"
5924,N,,68,11,M,HGH,RET,M,"426,1923077",25/09/2006,01/01/2000,15/08/2005,"76,92323077"
5932,N,,64,11,M,HGH,RET,M,"259,7369231",10/08/2001,01/10/9999,15/08/2005,"121,1380769"
5933,N,,35,11,S,HGH,PVE,M,"420,5461538",29/06/2010,19/01/2006,15/08/2005,0
5939,N,,64,11,M,HGH,RET,M,"372,6646154",01/01/1969,01/10/9999,15/08/2005,"24,28769231"
5940,N,,69,11,W,HGH,RET,F,"221,2833077",21/05/2008,01/10/9999,15/08/2005,0
5943,N,,42,11,M,BCR,STE,F,"426,0819231",01/10/2012,16/02/2016,15/08/2005,"348,3928462"
5952,N,,54,12,M,HGH,PVE,M,"337,1089231",01/05/1970,15/06/1983,29/10/2004,"258,9346154"
5953,N,,56,11,M,HGH,STE,M,"465,9230769",14/07/1961,20/09/1988,09/08/2005,"115,9436923"
5954,N,,67,11,M,BCR,RET,M,"228,0447692",01/11/1979,01/10/9999,16/08/2005,"208,2037692"
5956,N,,71,11,M,HGH,RET,M,"402,8246154",01/01/1983,01/10/9999,30/07/2005,"123,2029231"
5957,N,,58,11,W,HGH,RET,F,"192,7692308",07/07/1986,01/10/9999,16/08/2005,"71,84446154"
5959,N,,62,11,M,HGH,STE,M,"260,3692308",31/05/1955,06/10/1976,16/08/2005,"100,9372308"
5960,N,,50,11,M,HGH,STE,F,"211,3023077",12/08/2005,02/04/1998,16/08/2005,"191,2992308"
5963,N,,42,11,M,HGH,STE,M,"444,7559231",01/01/1986,11/02/1999,16/08/2005,"251,1816154"
5964,N,,54,11,M,HGH,PVE,M,"767,7461538",22/12/1998,04/01/1984,16/08/2005,"182,4530769"
5967,N,,54,11,M,HGH,PVE,M,"512,0563077",15/06/1963,26/03/2005,16/08/2005,0
5970,N,,56,11,M,SEC,PVE,M,"289,7998462",15/09/1961,01/08/2007,16/08/2005,"26,97446154"
5972,N,,57,12,M,HGH,PVE,M,"348,2778462",23/11/1960,10/03/1983,12/10/2004,"296,7485385"
5986,N,,62,11,M,HGH,RET,F,"207,6923077",01/01/2005,01/10/9999,17/08/2005,"200,6672308"
5987,N,,50,11,M,HGH,STE,F,"354,3694615",02/11/1992,12/05/2000,17/08/2005,0
5991,N,,47,11,S,BCR,STE,F,"525,2581538",29/09/1970,05/10/1989,17/08/2005,"28,02284615"
5996,N,,45,11,M,PHD,STE,F,"756,2384615",22/12/2001,01/04/2000,17/08/2005,"659,5453077"
6003,N,,51,11,M,HGH,PVE,M,"212,7189231",01/09/1981,02/02/2014,18/08/2005,"187,168"
6006,N,,59,11,M,HGH,STE,M,"182,5384615",20/06/1958,28/09/1979,18/08/2005,"189,7306923"
6010,N,,68,11,M,BCR,RET,M,"267,3760769",01/05/1991,01/10/9999,18/08/2005,"197,4057692"
6011,N,,51,11,M,BCR,STE,F,"671,7764615",05/08/1992,17/01/2005,18/08/2005,0
6023,N,,42,11,S,BCR,STE,F,"502,5615385",18/01/2002,23/03/1998,18/08/2005,"71,93946154"
6024,N,,43,11,S,HGH,STE,M,"497,3268462",30/11/1974,01/10/9999,18/08/2005,0
6032,N,,38,11,M,BCR,STE,F,"406,9873077",01/02/2006,23/07/2012,18/08/2005,"98,01053846"
6033,N,,53,11,M,HGH,STE,F,"221,5239231",26/04/1983,14/10/2008,18/08/2005,"6,965769231"
6034,N,,51,12,S,PHD,STE,M,"820,5384615",30/08/2010,04/01/1999,29/07/2004,0
6036,N,,66,14,M,HGH,RET,F,"334,1067692",04/12/2005,01/10/9999,24/10/2002,"122,1642308"
6037,N,,58,11,M,HGH,PVE,M,"214,173",18/03/1959,02/08/1986,18/08/2005,"201,7997692"
6042,N,,67,14,M,BCR,RET,M,"415,3846154",01/01/2006,01/10/9999,28/02/2003,"282,8789231"
6043,N,,49,11,M,HGH,STE,M,"452,4307692",15/03/2010,16/01/1995,19/08/2005,0
6045,N,,76,11,M,HGH,RET,F,"203,2388462",01/01/1965,01/10/9999,19/08/2005,"192,3124615"
6046,N,,66,11,M,HGH,OTH,M,"352,1616923",01/01/1988,01/10/9999,19/08/2005,0
6051,N,,43,12,M,HGH,STE,F,"259,6799231",25/11/2006,01/04/1995,29/03/2005,"236,0832308"
6055,N,,48,11,M,BCR,STE,M,"245,7276923",10/08/2002,01/11/2012,19/08/2005,"78,95338462"
6058,N,,41,11,M,BCR,STE,F,"500,9745385",01/01/1980,04/04/2006,19/08/2005,"262,1035385"
6060,N,,68,11,M,HGH,RET,M,"448,9292308",01/09/2013,01/10/9999,19/08/2005,"25,73761538"
6062,N,,56,11,M,HGH,PVE,M,"202,5415385",25/03/1961,01/11/2000,19/08/2005,"122,6686923"
6064,N,,50,11,M,HGH,PVE,M,"275,3846154",04/10/1967,01/11/1998,10/08/2005,0
6066,N,,71,11,M,HGH,RET,M,"305,5907692",26/01/1986,26/04/2001,19/08/2005,"13,86830769"
6068,N,,55,11,M,HGH,PVE,M,"502,2651538",04/01/1962,01/09/1982,19/08/2005,0
6082,N,,52,12,M,BCR,PVE,M,"475,8384615",01/09/1993,16/06/1988,20/07/2004,0
6086,N,,50,12,M,HGH,STE,M,"262,6289231",25/06/1971,01/11/2003,12/03/2005,"55,64892308"
6088,N,,38,11,M,BCR,STE,F,"317,2692308",01/02/2006,25/07/2005,18/08/2005,"78,54238462"
6097,N,,66,11,M,BCR,RET,M,"253,8461538",26/07/1976,01/10/9999,22/08/2005,"36,75069231"
6100,N,,62,11,W,HGH,RET,F,"230,3667692",01/01/1995,01/10/9999,23/08/2005,"218,4886923"
6107,N,,61,12,M,HGH,STE,M,"284,6567692",17/10/2006,01/12/1991,01/07/2005,0
6109,N,,39,11,D,BCR,STE,F,"352,3876923",01/07/2010,01/09/2010,23/08/2005,0
